"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 15 18:55:59 ICT 2023","Wed Mar 15 18:56:18 ICT 2023","19252","","Testing click and drag and drop Automation","","","","Automation click on element",""
"passed","Wed Mar 15 18:56:18 ICT 2023","Wed Mar 15 18:56:37 ICT 2023","18598","","Testing click and drag and drop Automation","","","","Automation drag and drop interaction",""
